NOMBRE REGIÓN  RESIDENCIA HABITUAL ACTUAL,NOMBRE COMUNA RESIDENCIA HABITUAL ACTUAL,GRUPO DE EDAD,TOTAL POBLACIÓN NACIDA FUERA DEL PAÍS
ATACAMA,COPIAPÓ,Total Comuna,6032
ATACAMA,COPIAPÓ,0 a 4,181
ATACAMA,COPIAPÓ,5 a 9,373
ATACAMA,COPIAPÓ,10 a 14,383
ATACAMA,COPIAPÓ,15 a 19,419
ATACAMA,COPIAPÓ,20 a 24,755
ATACAMA,COPIAPÓ,25 a 29,888
ATACAMA,COPIAPÓ,30 a 34,860
ATACAMA,COPIAPÓ,35 a 39,694
ATACAMA,COPIAPÓ,40 a 44,477
ATACAMA,COPIAPÓ,45 a 49,355
ATACAMA,COPIAPÓ,50 a 54,260
ATACAMA,COPIAPÓ,55 a 59,174
ATACAMA,COPIAPÓ,60 a 64,94
ATACAMA,COPIAPÓ,65 a 69,47
ATACAMA,COPIAPÓ,70 a 74,21
ATACAMA,COPIAPÓ,75 a 79,20
ATACAMA,COPIAPÓ,80 a 84,16
ATACAMA,COPIAPÓ,85 a 89,6
ATACAMA,COPIAPÓ,90 a 94,9
ATACAMA,COPIAPÓ,95 a 99,0
ATACAMA,COPIAPÓ,100 o más,0
ATACAMA,CALDERA,Total Comuna,463
ATACAMA,CALDERA,0 a 4,5
ATACAMA,CALDERA,5 a 9,23
ATACAMA,CALDERA,10 a 14,26
ATACAMA,CALDERA,15 a 19,42
ATACAMA,CALDERA,20 a 24,40
ATACAMA,CALDERA,25 a 29,63
ATACAMA,CALDERA,30 a 34,67
ATACAMA,CALDERA,35 a 39,71
ATACAMA,CALDERA,40 a 44,45
ATACAMA,CALDERA,45 a 49,28
ATACAMA,CALDERA,50 a 54,18
